base_value,planned_duration,creation_to_planned_start,created_dow,created_is_weekend,created_is_friday,created_month,created_quarter,is_planned,risk_mapping,is_cross_dept,cross_dept_pair_exists,status_encoded,approval_status_encoded,lead_approval_status_encoded,ma_status_encoded,ma_approval_status_encoded,num_ma_revisions,kpi_is_overdue_flag,kpi_status_ordinal,num_kpi_revisions,num_revisions,revision_frequency,revision_recency,num_subtasks,has_subtasks,subtask_completion_pct,subtask_overdue_rate,task_comment_count,avg_sub_status_changes
0.3902139443505937,0.8892671723576895,2.5392182207623426,1.0056376499898327,0.024994245037011007,-0.009274448972930378,-3.2856424555643526,-0.5724502793219275,-0.20302574233423173,0.07439899177732187,0.0011906155887899668,0.0005610251055662816,0.21981784815393704,-0.0060344993035621845,0.0,0.00846972728296032,-0.14925612821663525,-0.017093089386366604,-0.0011045375090995772,0.014441228972003796,0.02754474582951368,0.0,0.0,-0.026775801099034022,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,-0.1190394144795182,-1.4121867882548522,0.2535542983161902,0.004188094537595604,-0.014148116913736523,-0.3990455065100223,-0.17142282847168547,-0.006445858725792292,0.03677626040749381,0.0006971507563882222,0.001701481257679781,0.22016435523336175,-0.016318322815923957,0.0,0.02248111724335876,0.06029008579322561,0.35456581408198107,-0.0010612026942293084,-0.03298318387203326,-0.9202458186925226,0.0,0.0,0.29321208211831895,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,-0.35203747243285394,-1.8720797288138133,-0.5775936411139279,0.01281895005835608,-0.08778297211412188,-0.7643722740922451,-0.29053251568421873,-0.09766910263820974,0.017724729109431427,0.008127952885430416,0.0014114550982584728,0.2148927000117405,-0.010150607046739889,0.0,0.0170977708991854,-0.1785182725051162,-0.042956392209847934,-0.0028714333858803984,-0.20197643434102894,-0.45299387524542134,0.0,0.0,0.8744683156307925,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,-0.2352447347274209,-1.1592210201947624,-0.011115038501016283,0.00445467192072964,-0.002256684708630277,-0.4341908756268817,-0.17427195314805016,0.04049501127952267,-0.022760995728004354,0.007099066021154093,0.001337901675581398,0.24099210201714033,-0.016075374049436167,0.0,0.01098574901211597,-0.05609077085342144,0.1736489924689638,-0.0011167457525088297,-0.006033139890374599,-0.10107816577941361,0.0,0.0,1.0179958019410515,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,0.37235843465796226,0.5422000704840644,-0.24430558984077316,0.00803500153250836,-0.05096329316650488,-3.0454217035026674,-0.8523852766046056,-0.24023235283293456,0.08395793425138061,0.0004261266034655864,0.00023436593928141737,0.21185327549016736,-0.007911557811208381,0.0,0.012730955569814713,-0.08566625996031514,0.03149815008526292,-0.0008643266631692982,0.02226837735128141,0.14747814659676214,0.0,0.0,0.006370693922062613,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,-1.9647968323892377,0.28847632815106133,-0.9424551788026521,-0.22875846641225664,-0.031736343311599975,-1.2886541631087614,-0.38629699165295717,0.029951658878129242,-0.5238848853848816,-0.004023911057297809,-0.001696521514360316,0.2004310927192604,-0.011899132323167244,0.0,-0.018604352360894263,0.2015656928313479,-0.25298686956039373,-0.0038281860459632474,-0.1252702971932676,0.3081725112888836,0.0,0.0,-0.42125302701612455,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,-0.15816885811967885,3.8880903938321847,-0.39275534259705397,0.014962078734392857,-0.2414425348194593,1.4443679892533339,0.29559042925778733,-0.042796334140930245,0.1113746782589072,0.0018445826419851317,0.0009875667513435387,0.24203288935990533,-0.007610740414633786,0.0,0.0075181327523529936,0.10913864685125202,0.06279504640936334,-0.0014725707142434572,0.024785410979164414,0.09071944486406898,0.0,0.0,0.04378576211171635,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,-0.08924041697024201,-1.5666037986941164,0.052278607292627656,0.0029516886856321874,0.00046187905589618525,-0.5488160101750585,-0.2013929997171588,-0.008445462254099988,-0.06617539067249553,-0.0012549778408204933,0.000837629455124419,0.2202711380100121,-0.016498629151851203,0.0,0.0030780632088336928,-0.28285624606163007,0.08944579530068426,-0.001311442088724143,0.03514075141126781,0.04264655833023335,0.0,0.0,-1.0785484640457532,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,-0.5209889455473337,4.452779501497609,0.40051552922902595,0.05588812270354057,-0.04457173010779693,-0.2709197643556722,-0.6060680085931536,-0.11680277466213712,0.10657172516981953,0.00025389768295815617,0.00041690116835974727,0.23975043558817788,-0.008470141802307884,0.0,0.01108370750320848,-0.15640468152049541,0.05992489433491637,-0.000874620850367162,0.020690150297051218,0.16470466366827682,0.0,0.0,0.2868135136965008,0.0,0.0,0.0,0.0,0.0,0.0
0.3902139443505937,-0.2933809650382755,-1.1227921303261645,0.19936937099663868,0.005330632179849095,-0.007311212016145763,-0.40799580261059676,-0.1771142688995355,-0.0404151263415183,0.03160892382051866,-0.002014655384978392,0.0008673571729921642,0.23746972492922433,-0.014915951629609561,0.0,0.010702855669465662,-0.1526596700768473,-0.2429088722970702,-0.001073213206089636,-0.2182435639264401,-0.32665553786942103,0.0,0.0,0.6396230702458738,0.0,0.0,0.0,0.0,0.0,0.0
