fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0010030090270812437,0.9999999679167809
0.0,0.006018054162487462,0.9999996919834916
0.0,0.00802407221664995,0.9999996604639956
0.0,0.010030090270812437,0.9999992783954799
0.0,0.014042126379137413,0.9999990766221218
0.0,0.015045135406218655,0.9999990117902942
0.0,0.017051153460381142,0.9999987224143532
0.0,0.024072216649949848,0.9999981824551015
0.0,0.026078234704112337,0.9999980545354438
0.0,0.04012036108324975,0.9999940185527673
0.0,0.044132397191574725,0.999993612099149
0.0,0.0641925777331996,0.9999898393946727
0.0,0.06619859578736209,0.999989533413423
0.0,0.06920762286860582,0.9999889249043886
0.0,0.0712136409227683,0.9999886764949955
0.0,0.09327983951855567,0.9999820055125572
0.0,0.09528585757271815,0.9999818015383658
0.0,0.09929789368104312,0.9999810879970991
0.0,0.10130391173520562,0.9999789982675495
0.0,0.10230692076228685,0.9999788885125127
0.0,0.10431293881644935,0.999978498996402
0.0,0.10531594784353059,0.9999782586171816
0.0,0.10932798395185557,0.999977404173767
0.0,0.11133400200601805,0.9999765353986867
0.0,0.11534603811434303,0.9999744781316026
0.0,0.11634904714142427,0.9999733207206739
0.0,0.12036108324974924,0.99997272109716
0.0,0.12337011033099297,0.9999714664730228
0.0,0.12537612838515547,0.9999704622069643
0.0,0.1283851554663992,0.9999681996530879
0.0,0.13039117352056168,0.9999668067845467
0.0,0.13239719157472418,0.999965298751638
0.0,0.13440320962888666,0.9999647467482442
0.0,0.14944834503510532,0.9999600785296564
0.0,0.1514543630892678,0.9999577804074398
0.0,0.16449348044132397,0.9999449906644811
0.0,0.16649949849548645,0.9999449269445503
0.0,0.17251755265797392,0.999939208658738
0.0,0.17452357071213642,0.9999381081678936
0.0,0.1765295887662989,0.9999357182933403
0.0,0.17853560682046138,0.9999341143858577
0.0,0.18856569709127383,0.9999186724037168
0.0,0.1905717151454363,0.9999180669708455
0.0,0.19257773319959878,0.9999140443069037
0.0,0.19558676028084251,0.9999130335429267
0.0,0.19759277833500502,0.9999100668609887
0.0,0.1995987963891675,0.9999094048199677
0.0,0.20060180541624875,0.9999076979370527
0.0,0.20260782347041123,0.999907362059492
0.0,0.20661985957873621,0.9998961816948353
0.0,0.2086258776328987,0.9998959499757416
0.0,0.21063189568706117,0.999891188500631
0.0,0.21263791374122368,0.9998880182013284
0.0,0.21464393179538616,0.9998825928564926
0.0,0.22066198595787362,0.9998751814228845
0.0,0.22367101303911735,0.9998728351884271
0.0,0.22668004012036108,0.9998673229993933
0.0,0.24974924774322968,0.9998275188038115
0.0,0.2577733199598796,0.9998227996722352
0.0,0.2657973921765296,0.9998123278555214
0.0,0.2678034102306921,0.9998097266635106
0.0,0.26980942828485455,0.9998081910160203
0.0,0.2728184553660983,0.9998037891234596
0.0,0.2748244734202608,0.9997995175804039
0.0,0.27883650952858574,0.9997976901888168
0.0,0.279839518555667,0.99979699895568
0.0,0.2818455366098295,0.9997894999224584
0.0,0.283851554663992,0.999783751443997
0.0,0.2858575727181545,0.9997822396374366
0.0,0.30090270812437314,0.9997420689436117
0.0,0.3029087261785356,0.9997418624184939
0.0,0.32196589769307926,0.9997060476411065
0.0,0.3239719157472417,0.9997059028012958
0.0,0.3299899699097292,0.9996809578344703
0.0,0.33600802407221664,0.999676583545578
0.0,0.34002006018054165,0.9996013100619637
0.0,0.3420260782347041,0.9995993914369795
0.0,0.35005015045135407,0.9995583900196432
0.0,0.3520561685055166,0.9995574095818476
0.0,0.35707121364092276,0.9995374775111482
0.0,0.35907723169508526,0.9995305374053497
0.0,0.3781344032096289,0.9994074514346653
0.0,0.3801404212637914,0.9993940584217929
0.0,0.3811434302908726,0.9993885780375494
0.0,0.38515546639919757,0.9993745274247724
0.0,0.4012036108324975,0.9992451219795909
0.0,0.40320962888665995,0.9992448325983462
0.0,0.43029087261785354,0.9988071857933782
0.0,0.43229689067201604,0.9987967077937902
0.0,0.4353059177532598,0.9987609708753034
0.0,0.4373119358074223,0.9987432987132749
0.0,0.43931795386158473,0.998647892271332
0.0,0.44232698094282846,0.9986206017184563
0.0,0.44433299899699097,0.9986006567535974
0.0,0.4453360080240722,0.9985666423390038
0.0,0.45035105315947843,0.9985634686989494
0.0,0.4543630892678034,0.9984797428820973
0.0,0.4563691073219659,0.998420437397626
0.0,0.4724172517552658,0.9978375436025316
0.0,0.4744232698094283,0.9978107804949323
0.0,0.4764292878635908,0.997716479748787
0.0,0.47843530591775324,0.9974619321453431
0.0,0.48044132397191575,0.9971465647530215
0.001838235294117647,0.48044132397191575,0.9969632725494183
0.001838235294117647,0.4844533600802407,0.996723547867762
0.001838235294117647,0.4884653961885657,0.996699168277174
0.001838235294117647,0.4954864593781344,0.9959585158105588
0.0027573529411764708,0.4954864593781344,0.9957741116511925
0.0027573529411764708,0.506519558676028,0.9945036225174921
0.0027573529411764708,0.5085255767301906,0.9944951374194411
0.0027573529411764708,0.5115346038114343,0.9944376125385312
0.0027573529411764708,0.5135406218655968,0.994364187237625
0.0027573529411764708,0.5235707121364093,0.9933746804581215
0.0027573529411764708,0.5255767301905717,0.9931796895737344
0.0027573529411764708,0.5356068204613842,0.992105927353325
0.003676470588235294,0.5366098294884654,0.9920706721920248
0.003676470588235294,0.5406218655967904,0.9918382428729979
0.004595588235294118,0.5416248746238717,0.9916257712837335
0.004595588235294118,0.5456369107321966,0.9914214952578392
0.0055147058823529415,0.5456369107321966,0.9912641466342665
0.0055147058823529415,0.5466399197592778,0.9911777159990331
0.0055147058823529415,0.5486459378134403,0.9909395029676344
0.0055147058823529415,0.551654964894684,0.9904941759414688
0.0055147058823529415,0.5576730190571715,0.9900860998486256
0.0055147058823529415,0.5797392176529589,0.9860612918764649
0.006433823529411764,0.5797392176529589,0.9854921683684602
0.006433823529411764,0.5877632898696088,0.9837884707755197
0.006433823529411764,0.5907723169508525,0.9836839117630077
0.006433823529411764,0.5927783350050151,0.9830573783497889
0.006433823529411764,0.5947843530591775,0.9830242733345269
0.006433823529411764,0.59679037111334,0.9825320391793381
0.007352941176470588,0.59679037111334,0.9821429584632613
0.007352941176470588,0.6399197592778335,0.9676969523942968
0.008272058823529412,0.6399197592778335,0.9666490647701068
0.008272058823529412,0.6409227683049148,0.966340883176845
0.008272058823529412,0.6429287863590772,0.9658635111601233
0.008272058823529412,0.645937813440321,0.9653195567187837
0.008272058823529412,0.6479438314944834,0.9652162650516362
0.008272058823529412,0.6569709127382146,0.9619569081304438
0.008272058823529412,0.6589769307923772,0.960617135560979
0.008272058823529412,0.6639919759277834,0.9594426554355048
0.009191176470588236,0.6639919759277834,0.9592003941553447
0.009191176470588236,0.6659979939819458,0.9575647443554184
0.01011029411764706,0.6659979939819458,0.9569720330232038
0.01011029411764706,0.6700100300902708,0.9557710271563429
0.011029411764705883,0.6700100300902708,0.9556100984148362
0.011029411764705883,0.6730190571715146,0.954155606739688
0.011948529411764705,0.6730190571715146,0.9538056286511107
0.011948529411764705,0.675025075225677,0.9514001181164444
0.012867647058823529,0.675025075225677,0.9513105221704856
0.012867647058823529,0.6760280842527583,0.9511338280403357
0.012867647058823529,0.6780341023069207,0.9505105232588107
0.012867647058823529,0.6810431293881645,0.9490432896473863
0.013786764705882353,0.6810431293881645,0.9490132054236919
0.013786764705882353,0.683049147442327,0.9484106164877565
0.013786764705882353,0.6850551654964895,0.9480529145119042
0.013786764705882353,0.6900702106318957,0.9453450987454626
0.013786764705882353,0.6920762286860582,0.9449755443410702
0.013786764705882353,0.7021063189568706,0.9385748157801063
0.014705882352941176,0.7021063189568706,0.9377158354945586
0.014705882352941176,0.7051153460381143,0.9359584867105198
0.015625,0.7051153460381143,0.9358058454656765
0.015625,0.7071213640922769,0.9337516432057741
0.016544117647058824,0.7071213640922769,0.933735890529374
0.016544117647058824,0.7171514543630892,0.9285321794500951
0.016544117647058824,0.7191574724172518,0.9284441319813515
0.016544117647058824,0.7352056168505516,0.9155792840920065
0.016544117647058824,0.7372116349047142,0.9154765268198313
0.016544117647058824,0.7452357071213641,0.9079012953633036
0.017463235294117647,0.7452357071213641,0.9075707744276725
0.017463235294117647,0.7482447342026078,0.9059188016646773
0.01838235294117647,0.7482447342026078,0.9044511649163273
0.01838235294117647,0.7522567703109327,0.9008503832832451
0.019301470588235295,0.7522567703109327,0.9004368077352217
0.019301470588235295,0.7552657973921765,0.8967888699202715
0.02022058823529412,0.7552657973921765,0.8967092604903543
0.02022058823529412,0.7602808425275828,0.8903410574249501
0.02022058823529412,0.7622868605817452,0.8887060236658966
0.021139705882352942,0.7622868605817452,0.8881833239407569
0.021139705882352942,0.7642928786359077,0.884044524279193
0.022058823529411766,0.7642928786359077,0.8803350355915095
0.022058823529411766,0.765295887662989,0.8794470674051444
0.02297794117647059,0.765295887662989,0.8762092342725951
0.02297794117647059,0.7673019057171514,0.8722834467811242
0.02297794117647059,0.7703109327983951,0.8722354023972834
0.02297794117647059,0.7733199598796389,0.8707773689050299
0.02389705882352941,0.7733199598796389,0.8687737295421063
