fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0020060180541624875,0.9999738014273951
0.0,0.00802407221664995,0.9999416968978704
0.0,0.010030090270812437,0.9999414172152947
0.0,0.013039117352056168,0.999919109837568
0.0,0.015045135406218655,0.9999167907915588
0.0,0.037111334002006016,0.9997723693621127
0.0,0.03911735205616851,0.9997673211568697
0.0,0.04012036108324975,0.9997642453245333
0.0,0.04312938816449348,0.9997600639223146
0.0,0.04714142427281846,0.9997367991902567
0.0,0.04914744232698094,0.9997336353250366
0.0,0.05315947843530592,0.9997135671989199
0.0,0.055165496489468405,0.9997109926791097
0.0,0.06118355065195587,0.9996989036200188
0.0,0.06318956870611836,0.9996963211046505
0.0,0.06720160481444333,0.9996766826172029
0.0,0.06920762286860582,0.9996696393563259
0.0,0.07221664994984955,0.9996679954011438
0.0,0.07622868605817452,0.999630800762944
0.0,0.07823470411233702,0.9996294274347712
0.0,0.08324974924774323,0.9995936176515308
0.0,0.08525576730190572,0.9995899139584946
0.0,0.09127382146439318,0.9995421459571533
0.0,0.09528585757271815,0.9995352870107969
0.0,0.09628886659979939,0.9995315286036894
0.0,0.10030090270812438,0.9995261364284916
0.0,0.10832497492477432,0.9994736228329135
0.0,0.11133400200601805,0.9994670442601192
0.0,0.11334002006018054,0.9994616694621629
0.0,0.11534603811434303,0.9994591382674305
0.0,0.119358074222668,0.999456453022665
0.0,0.1213640922768305,0.9994498422956285
0.0,0.12437311935807423,0.999427722245698
0.0,0.12637913741223672,0.9994259447989009
0.0,0.1374122367101304,0.9993664825568321
0.0,0.13941825476429287,0.999363671936947
0.0,0.14744232698094284,0.9993023928492718
0.0,0.14944834503510532,0.9992982295424168
0.0,0.15045135406218657,0.9992844922244839
0.0,0.15245737211634905,0.999283884167693
0.0,0.1624874623871615,0.9992765965714774
0.0,0.16349047141424272,0.9992675808850418
0.0,0.16950852557673018,0.9992453442928309
0.0,0.17452357071213642,0.999222165740397
0.0,0.1765295887662989,0.9992152911380731
0.0,0.17753259779338015,0.9992134178909691
0.0,0.1815446339017051,0.9992089496543725
0.0,0.18455366098294884,0.9991895307492458
0.0,0.18655967903711135,0.9991836783697868
0.0,0.18956870611835505,0.99918315696496
0.0,0.20561685055165496,0.9991074448088669
0.0,0.20762286860581744,0.9990934040574113
0.0,0.21965897693079237,0.9989778332355719
0.0,0.22166499498495487,0.9989774193751499
0.0,0.23069207622868607,0.9989152546069892
0.0,0.23269809428284854,0.9989130292012348
0.0,0.23771313941825475,0.9988808344906981
0.0,0.24172517552657974,0.998879374103516
0.0,0.24373119358074222,0.9988789649875822
0.0,0.24573721163490472,0.998868514815655
0.0,0.2477432296890672,0.9988579223602104
0.0,0.24974924774322968,0.9988508662766727
0.0,0.25075225677031093,0.9988464351141965
0.0,0.25275827482447344,0.998841180625917
0.0,0.25376128385155466,0.998820638551145
0.0,0.2587763289869609,0.9988180144068931
0.0,0.2597793380140421,0.9987910471580834
0.0,0.26178535606820463,0.9987870640263191
0.0,0.26278836509528586,0.9987859395326734
0.0,0.26479438314944836,0.9987856447710058
0.0,0.2678034102306921,0.9987554921013967
0.0,0.26980942828485455,0.9987233228302466
0.0,0.27181544633901705,0.9986816727420056
0.0,0.28284854563691075,0.9986758996408918
0.0,0.2928786359077232,0.998582469986833
0.0,0.2958876629889669,0.9985716753242231
0.0,0.3119358074222668,0.9983527802771883
0.0,0.3139418254764293,0.9983487590741231
0.0,0.31795386158475425,0.998290245418108
0.0,0.3239719157472417,0.9982756462812977
0.0,0.3259779338014042,0.9982379579856736
0.0,0.3279839518555667,0.9982327120931136
0.0,0.33901705115346037,0.9979435960668084
0.0,0.3430290872617854,0.9979339058431279
0.0,0.3520561685055166,0.9977030227243134
0.0,0.354062186559679,0.9976298882689207
0.0,0.3600802407221665,0.9974134990273301
0.0,0.362086258776329,0.9974102996128814
