base_value,planned_duration,creation_to_planned_start,created_dow,created_is_weekend,created_is_friday,created_month,created_quarter,is_planned,risk_mapping,is_cross_dept,cross_dept_pair_exists,status_encoded,approval_status_encoded,lead_approval_status_encoded,ma_status_encoded,ma_approval_status_encoded,num_ma_revisions,kpi_is_overdue_flag,kpi_status_ordinal,num_kpi_revisions,num_revisions,revision_frequency,revision_recency,num_subtasks,has_subtasks,subtask_completion_pct_at_halfway,task_comment_count,avg_sub_status_changes,days_since_update
0.39191698584130125,1.2627253608158895,3.322711257864187,1.2726710311530365,0.03148158474221703,-0.01913539225865834,-1.7916790527621453,-0.10918917553147281,-0.14092242919017534,0.031888274202908455,-0.005947849527461035,0.0013280234302446973,0.002017558408069873,-0.007401771418936923,0.001211679906134432,0.015136277938455771,-0.04278823663911429,0.02314104091261683,-0.0004877048065375496,0.06648175049420375,0.04093961848243365,0.2685767033281566,0.02696275954295948,0.21024670516857155,-0.0037206980397655894,-4.224058299884732e-05,-0.0037294377617317046,0.0,-0.0035869140253122407,-4.386170021118763
0.39191698584130125,-0.3531642088266233,-1.5050838135222173,0.15475380015582688,0.0038584321494476875,-4.4669890473473925e-05,0.15511263314288926,-0.11167336362856443,0.021265712383374834,0.2847751857072909,0.0037250739550947344,0.0002773641261284078,1.2358696627367785,-0.007207382618394331,0.001332867765771493,0.010498609580035862,-0.03369324202238608,-0.4453394793799852,-0.0011838162795990799,0.00147002702213311,-0.7657593558124247,-0.544589674563905,-0.07466070017228701,-0.7829099648239929,-0.010401009560487678,-3.6886175828423055e-05,-0.006694184027097406,0.0,-0.002275779918132375,-3.3453100276294694
0.39191698584130125,-0.20096908062045166,-1.8302461612515069,-0.351845790039038,0.005809211487686425,0.007138931531148309,-0.3238496640368139,-0.18081718967295946,0.06559880825570974,0.01689293561735104,0.007918823188973863,0.003242155851675446,-0.09843374701222887,-0.008158617075703551,0.001179295735740898,-0.0028588410103808186,-0.33182728992507105,-0.5090556938055677,-0.001372712712362624,-0.8222003072832442,-2.0063059326161117,0.23458499142140946,0.010212105480099211,-0.18676497631456565,-0.003230623194661379,-3.0510430907465967e-05,-0.0026836260627645546,0.0,0.00048386201621829835,-0.9525033785825058
0.39191698584130125,-0.14044376599324956,-1.496697668788975,0.11244298213236088,0.003804041281214795,-0.0012518603610390143,0.23319526766553142,-0.1009897081633381,-0.03091388965050697,0.2370035673045681,0.0013615539530413313,0.0009423581680674823,1.2132957912306963,-0.006061513157854406,0.0013072644772356538,0.00826123552395074,-0.055373528022721226,-0.03930904727323266,-0.0011688125604568825,0.011268404215245926,-0.21880111211638167,-0.458879764189845,-0.16274272099999043,0.7306355896303377,-0.00853364767186783,-3.6886175828423055e-05,-0.007624531411362876,0.0,-0.002482423167021888,1.4806578757826194
0.39191698584130125,1.0654725976191985,1.6709726555844249,-0.16416269701741454,0.028058455360049715,-0.03806084519955042,-1.464585119343431,-0.10449462381243077,-0.12672725789639383,0.0733863953997886,-0.007406879482794476,0.0013578640361523648,0.020809917945495637,-0.008929300996307277,0.0012162209668149671,0.013937234455535168,-0.169266394998297,0.13349952557141379,-0.0004877048065375496,0.05458806845048273,0.11920478586178934,0.29764830639611956,0.026028506679827663,0.21924334968482367,-0.003942477981788536,-4.224058299884732e-05,-0.003310813118235292,0.0,-0.0036409510819741106,-1.0552021219086196
0.39191698584130125,-2.616307779412946,0.7703019057415836,-1.2361272861447592,-0.30734626837260204,-0.10605216157833905,-0.8707459822009094,-0.4250363568484517,0.14203854424007548,-0.7694953792074838,-0.008656224315651011,0.0030849242520713917,-0.23491955366944245,-0.015145147552522853,0.001252701258001637,0.010417368422364032,0.0027183065243610726,-0.029438433126469727,-0.0004655274227174389,-0.21601123831572772,0.36492549641115113,0.37417949274862417,0.03551456715511444,-0.03812553985841713,-0.0032297326249247685,-3.999171870709495e-05,-0.003418008987016513,0.0,0.0008055569508226728,-0.4381989662247884
0.39191698584130125,-0.9507648713767293,6.146531981378286,-0.4127018749710264,0.002671211568157526,-0.34909483674700115,0.2188097258498981,0.1276049000272937,-0.04579017864298201,0.1223439068393982,-0.00024526431080095293,0.0022815984495766196,0.0023714099121563766,-0.00817765195260863,0.001101835081486714,0.016053052694970864,0.011325791748555273,0.07635460721219339,-0.0002525737506643539,0.06453816702552023,0.13690641970680092,0.266298809349597,0.013002934388162832,0.21047171493372857,-0.003666114219459344,-4.954232279421803e-05,-0.00267453746473458,0.0,-0.0009771380640243561,-1.1495647380395502
0.39191698584130125,-0.42112833553227175,-1.6141674605666176,0.05415761576738729,0.006484545746881079,-0.004001230299223254,0.0811867499647522,-0.1678575664926434,0.02647360121267934,0.30283828605580204,-0.0018083222499953489,-0.0025938592846591357,1.2243115072755748,-0.005759962747947174,0.0013345280380349324,0.013021555478193472,0.09791712075302919,-0.42358010871828516,-0.0011561120489320094,-0.020547114137648363,-0.10352934692694352,-0.5829626133938589,-0.0728972669429111,-2.0738702399751245,-0.009102221916223802,-4.980434188098268e-05,-0.007223317241763937,0.0,-0.001836018756648453,-2.4989775805518946
0.39191698584130125,-0.9728556894135275,3.640331286072548,0.35929213276528965,0.017477216535801397,-0.03369938350179789,0.2975199850341176,-0.5074629171870112,-0.10272243477066836,0.09183657993031608,-0.005170908880275268,0.0010331572184015796,0.03490284382927963,-0.00854186905712613,0.001244778681061791,0.012936174049000387,-0.09445220541553734,0.14147060244361348,-0.0004368883797937369,0.04967226854233986,0.10885638099137035,0.28659908991873273,0.02616223787715437,0.21688708819387031,-0.004328075813263258,-4.224058299884732e-05,-0.0034968263975114484,0.0,-0.003766747974541418,0.6591735959246598
0.39191698584130125,-1.0314035589870518,-1.022568775194413,0.05982069152244822,0.005130192975655614,-0.017466296130198868,0.3740126004089895,-0.11869918674313926,-0.008811048094110976,0.28065801119150785,0.001262018823072186,0.0022679591646383775,1.1110836301931013,-0.008090172609866698,0.001395962086210762,0.0008670402522950598,-0.192723105475961,-0.10111706051871407,-0.0011838162795990799,-0.07864640946409511,-0.3529749810455359,-0.8477076422628324,-0.11980262023401857,1.9005908347103213,-0.0049532262670394095,-6.493324185443621e-05,-0.009133482903293248,0.0,-0.002795250715089201,1.1280033723562402
