id,calculated_overdue,target_source,planned_duration,creation_to_planned_start,created_dow,created_is_weekend,created_is_friday,created_month,created_quarter,is_planned,risk_mapping,is_cross_dept,cross_dept_pair_exists,dept_past_overdue_rate,dept_avg_revisions,emp_past_overdue_rate,pos_past_overdue_rate,status_encoded,approval_status_encoded,lead_approval_status_encoded,ma_status_encoded,ma_approval_status_encoded,num_ma_revisions,kpi_is_overdue_flag,kpi_status_ordinal,num_kpi_revisions,num_revisions,revision_frequency,revision_recency,num_subtasks,has_subtasks,subtask_completion_pct,subtask_overdue_rate,task_comment_count,avg_sub_status_changes
da1b07b8-f8ea-442c-93b7-1343c6d0edc5,0,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.42191780821917807,0.0,0.3333333333333333,0.3333333333333333,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
d625868d-f09f-4b93-8c09-80fc99e750ea,0,updated_date,4,-5,4,0,1,11,4,1,6.0,0,0,0.4318181818181818,0.0,0.35526315789473684,0.35526315789473684,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
5100668c-341b-4d9c-8a7d-3634c6584db5,0,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.4213406292749658,0.0,0.3302752293577982,0.3302752293577982,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
417fd0fe-a402-410e-9192-642500714b5c,0,updated_date,4,6,0,0,0,11,4,1,6.0,0,0,0.43641618497109824,0.0,0.367816091954023,0.367816091954023,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
78a56aad-36c5-4ec4-8476-de00ad5b90e1,1,updated_date,4,0,6,1,0,12,4,1,6.0,0,0,0.6343612334801763,0.0,0.6532137518684604,0.5870967741935483,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
bc733dd9-c7b8-4130-b759-f2c7c74dcd0e,0,updated_date,4,0,6,1,0,12,4,1,6.0,0,0,0.735224586288416,0.0,0.7151898734177216,0.7151898734177216,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
2a8e91ab-11eb-48af-a05b-5532fb9f5585,0,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.4357864357864358,0.0,0.36363636363636365,0.36363636363636365,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
9222333b-53be-4ed5-a758-521a95b923ff,1,updated_date,29,-122,3,0,0,7,3,1,6.0,0,0,0.7,0.0,0.4050632911392405,0.4780856423173804,2,2,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
0ff3d5f8-fea6-4613-a045-11341c65cf70,1,updated_date,0,-1,0,0,0,11,4,1,6.0,0,0,0.8421807747489239,0.0,0.8410958904109589,0.8410958904109589,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
75379c8a-18f3-4371-9a43-e068419b42f7,0,status_based,1,-1,0,0,0,11,4,1,0.0,0,0,0.45182724252491696,0.0,0.6423841059602649,0.6423841059602649,4,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
de0d9879-e41f-4664-a2b1-fc5646dafe60,0,actual_end_date,4,2,4,0,1,11,4,1,6.0,0,0,0.659217877094972,0.0,0.6605042016806723,0.4780856423173804,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
6011b7f0-ab01-4ad5-82dd-ad27afad5b89,0,actual_end_date,4,0,6,1,0,12,4,1,6.0,0,0,0.7334905660377359,0.0,0.8,0.8,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
137447a5-1b48-40f9-931b-25d389dd7bf1,1,updated_date,3,0,6,1,0,12,4,1,6.0,0,0,0.6690821256038647,0.0,0.6185819070904646,0.6185819070904646,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
19898574-ddf0-4874-a252-7a4093991d63,0,updated_date,4,6,0,0,0,12,4,1,6.0,0,0,0.6015037593984962,0.0,0.5757575757575758,0.5757575757575758,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
54f9e733-ba58-4e74-a9b6-37e598899600,1,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.4326647564469914,0.0,0.34408602150537637,0.34408602150537637,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
a60182a5-318b-4810-8795-f91d3055139a,0,status_based,3,-1,0,0,0,4,2,1,0.0,0,0,0.37281009110021024,1.6832515767344078,0.4036144578313253,0.39403973509933776,3,0,2,1,0,2,0,0,2,0,0.0,77.0,0,0,0.0,0.0,0,0.0
406d4aee-0c2a-49d4-8b88-674357dc33cf,1,updated_date,1,1,0,0,0,10,4,1,6.0,0,0,0.8627946127946128,0.0,0.8448275862068966,0.8448275862068966,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
896ceb6a-a166-476f-9a07-e62b23a15dc9,0,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.43453237410071943,0.0,0.35555555555555557,0.35555555555555557,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
a6bd9afc-833e-42ec-b7a7-b1836706d0b3,1,updated_date,0,0,6,1,0,12,4,1,6.0,0,0,0.6359649122807017,0.0,0.6466049382716049,0.7571428571428571,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
f3a800c6-a634-4d6d-81cf-752e696ea0dd,1,updated_date,1,0,0,0,0,10,4,1,6.0,0,0,0.5419847328244275,0.0,0.5366492146596858,0.5366492146596858,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
a9f72998-f177-4d26-9750-83049cf881cb,0,updated_date,4,-5,4,0,1,11,4,1,6.0,0,0,0.673728813559322,0.00211864406779661,0.64,0.64,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
bbe7b209-ee1d-47e3-9ce0-ea1f40491447,1,updated_date,4,-5,4,0,1,10,4,1,6.0,0,0,0.7335243553008596,0.0,0.7238805970149254,0.7238805970149254,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
dd95f55a-f19b-43cf-a1eb-7374162296a1,0,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.43515850144092216,0.0,0.3595505617977528,0.3595505617977528,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
f040b4fc-4ab4-4402-957c-371692ebea4c,0,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.4339080459770115,0.0,0.3516483516483517,0.3516483516483517,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
ecfe2ad8-c47d-401b-ab6a-d4c9fe5402c8,1,updated_date,1,-1,0,0,0,11,4,1,6.0,0,0,0.8422939068100358,0.0,0.8415300546448088,0.8415300546448088,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
48e0acb6-2d13-46e2-b7f0-9a9b30c5bce3,0,updated_date,4,13,0,0,0,12,4,1,6.0,0,0,0.643979057591623,0.0,0.6479750778816199,0.4780856423173804,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
617d71e2-4a28-4faa-a2f7-ef3db9559170,1,updated_date,4,-9,1,0,0,12,4,1,6.0,0,0,0.5046296296296297,0.0,0.5260663507109005,0.5260663507109005,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
7b5b8e1c-d7bc-454a-9e8f-0d4620c80c52,1,updated_date,0,0,6,1,0,12,4,1,6.0,0,0,0.6375545851528385,0.0,0.6537313432835821,0.5897435897435898,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
9743c49b-8517-44e5-af1d-9bbd62eead90,1,updated_date,4,-8,0,0,0,10,4,1,6.0,0,0,0.6421568627450981,0.0,0.6132596685082873,0.6132596685082873,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
61c09e25-2389-44c3-914b-c334f6657686,0,actual_end_date,4,0,6,1,0,12,4,1,6.0,0,0,0.731764705882353,0.0,1.0,1.0,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
d3a8af0b-6097-48e6-b314-e9f708a5758c,0,updated_date,1,-1,0,0,0,12,4,1,6.0,0,0,0.6022304832713755,0.0,0.5769230769230769,0.5769230769230769,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
3b795fe7-3514-4684-bb86-9e42e677ce52,1,updated_date,2,-5,6,1,0,12,4,1,6.0,0,0,0.6410256410256411,0.0,0.6537890044576523,0.5911949685534591,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
480239d2-b1d5-4d38-bd51-3eeac9bb0cad,1,updated_date,1,-5,0,0,0,10,4,1,6.0,0,0,0.7548387096774194,0.0,0.6928104575163399,0.7678571428571429,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
f381efb5-60f4-4631-a13e-f07e63a2668a,1,updated_date,4,-1,0,0,0,10,4,1,6.0,0,0,0.4727626459143969,0.0,0.6845637583892618,0.46153846153846156,2,2,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
d984a7a8-b658-48e5-92ca-316700055718,1,updated_date,4,-2,1,0,0,9,3,1,6.0,0,0,0.47540983606557374,0.0,0.6266666666666667,0.6266666666666667,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
cbf45c15-9720-41f0-b260-ac718822ffdf,1,updated_date,0,-4,0,0,0,10,4,1,6.0,0,0,0.8634840871021775,0.0,0.9033457249070632,0.9033457249070632,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
7a524ec7-95f6-442c-b2eb-236f0e5756e0,1,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.7604790419161677,0.0,0.6894409937888198,0.7627118644067796,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
2f828a0b-6a85-4b96-b029-39e081dff1bd,0,actual_end_date,4,-1,0,0,0,10,4,1,6.0,0,0,0.4738955823293173,0.0,0.47572815533980584,0.47572815533980584,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
f9723a03-eaee-4bfc-9172-cd3367afcfdb,1,updated_date,3,-4,4,0,1,11,4,1,6.0,0,0,0.6723044397463002,0.0021141649048625794,0.7346938775510204,0.7346938775510204,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
284e9442-3dfd-4235-9617-7d3a74e78067,1,updated_date,2,-38,4,0,1,11,4,1,6.0,0,0,0.7245179063360881,0.0,0.7158273381294964,0.7158273381294964,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
fc04d5df-cae2-41b4-9441-b8cb3baf8d96,1,updated_date,2,-6,0,0,0,11,4,1,6.0,0,0,0.5938144329896907,0.0,0.5658198614318707,0.5658198614318707,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
98b0c0d3-374e-40df-85af-c9829204f251,1,updated_date,0,-3,6,1,0,12,4,1,6.0,0,0,0.8246194573130378,0.0,0.8083832335329342,0.8083832335329342,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
